,Division (Or Total if not subdivision),1-20 Days,21-40 Days,41-60 Days,61-80 Days,81-100 Days,101-120 Days,121-140 Days,141-160 Days,161-180 Days,181-200 Days,201-300 Days,301-400 Days,400+ Days,Total,Agency,Year
2320,Total,1216,337,94,44,31,26,11,8,9,6,15,2,1,1800,HUD,2012
2321,HQ,318,86,39,29,14,13,5,13,6,4,12,0,0,539,HUD,2013
2322,OIG,10,45,8,0,0,0,0,0,0,0,0,0,0,63,HUD,2013
2323,R01,2,45,8,0,0,0,0,0,0,0,0,0,0,55,HUD,2013
2324,R02,46,18,5,1,0,0,0,0,0,0,0,0,0,70,HUD,2013
2325,R03,85,20,1,0,0,0,0,0,0,0,0,0,0,106,HUD,2013
2326,R04,165,27,4,4,0,0,0,0,0,0,0,0,0,200,HUD,2013
2327,R05,50,52,0,0,0,0,0,0,0,0,0,0,0,102,HUD,2013
2328,R06,126,15,3,3,0,0,0,0,0,0,0,0,0,147,HUD,2013
2329,R07,26,7,1,0,0,0,0,0,0,0,0,0,0,34,HUD,2013
2330,R08,47,32,7,4,0,0,1,0,0,0,0,0,0,91,HUD,2013
2331,R09,100,32,14,7,4,0,0,2,0,0,0,0,0,159,HUD,2013
2332,R0X,53,13,1,1,1,0,0,0,0,0,0,0,0,69,HUD,2013
2333,Total,1028,392,91,49,19,13,6,15,6,4,12,0,0,1635,HUD,2013
2334,HQ,405,75,64,24,18,8,15,6,8,6,9,2,2,642,HUD,2014
2335,OIG,124,7,2,0,1,1,0,0,0,0,0,0,0,135,HUD,2014
2336,R01,57,3,0,1,0,0,0,0,0,0,0,0,0,61,HUD,2014
2337,R02,37,30,1,0,0,0,0,1,0,0,0,0,0,69,HUD,2014
2338,R03,117,21,5,1,0,0,0,0,0,0,0,0,0,144,HUD,2014
2339,R04,167,35,7,4,0,0,1,1,0,0,0,0,0,215,HUD,2014
2340,R05,80,29,3,0,0,0,0,0,0,0,0,0,0,112,HUD,2014
2341,R06,90,14,3,3,1,0,0,0,0,0,0,0,0,111,HUD,2014
2342,R07,23,10,0,0,0,0,0,0,0,0,0,0,0,33,HUD,2014
2343,R08,54,33,11,3,5,1,0,1,0,1,2,0,0,111,HUD,2014
2344,R09,118,28,8,6,1,0,0,2,1,0,0,0,0,164,HUD,2014
2345,R0X,54,6,1,0,0,0,0,0,0,0,0,0,0,61,HUD,2014
2346,Total,1326,291,105,42,26,10,16,11,9,7,11,2,2,1858,HUD,2014
2347,HQ,309,117,53,30,33,39,17,10,5,6,21,10,0,650,HUD,2015
2348,OIG,121,6,0,0,0,0,0,0,0,0,0,0,0,127,HUD,2015
2349,R01,46,5,4,3,3,2,5,3,3,1,0,0,0,75,HUD,2015
2350,R02,41,19,2,1,0,0,0,1,0,0,0,0,0,64,HUD,2015
2351,R03,100,16,4,2,3,1,1,0,0,0,0,0,0,127,HUD,2015
2352,R04,128,26,8,1,1,1,0,0,0,0,1,0,0,166,HUD,2015
2353,R05,45,26,8,1,0,1,0,0,0,0,0,0,1,82,HUD,2015
2354,R06,72,9,3,1,0,1,0,0,0,0,0,0,0,86,HUD,2015
2355,R07,23,7,0,0,0,0,0,0,0,0,0,0,0,30,HUD,2015
2356,R08,50,12,7,7,6,1,0,2,0,0,0,0,0,85,HUD,2015
2357,R09,95,40,11,7,2,2,2,4,4,2,3,0,0,172,HUD,2015
2358,R0X,32,7,2,0,0,0,1,1,0,0,0,0,0,43,HUD,2015
2359,Total,1062,290,102,53,48,48,26,21,12,9,25,10,1,1707,HUD,2015
2360,Total,6,0,0,0,0,0,0,0,0,0,0,0,0,6,IAF,2008
2361,Total,7,0,0,0,0,0,0,0,0,0,0,0,0,7,IAF,2009
2362,Total,9,0,0,0,0,0,0,0,0,0,0,0,0,9,IAF,2010
2363,Total,14,2,0,0,0,0,0,0,0,0,0,0,0,16,IAF,2011
2364,Total,9,0,1,0,0,0,0,0,0,0,0,0,0,10,IAF,2012
2365,Total,9,2,0,0,0,0,0,0,0,0,0,0,0,11,IAF,2013
2366,Total,2,4,1,1,0,0,0,0,0,0,0,0,0,8,IAF,2014
2367,Total,3,0,0,0,0,0,0,0,0,0,0,0,0,3,IAF,2015
2368,Total,37,7,0,0,0,0,0,0,0,0,0,0,0,44,IMLS,2008
2369,Total,33,4,0,0,0,0,0,0,0,0,0,0,0,37,IMLS,2009
2370,Total,45,2,0,0,0,0,0,0,0,0,0,0,0,47,IMLS,2010
2371,Total,31,1,0,0,0,0,0,0,0,0,0,0,0,32,IMLS,2011
2372,Total,32,0,0,0,0,0,0,0,0,0,0,0,0,32,IMLS,2012
2373,Total,35,0,0,0,0,0,0,0,0,0,0,0,0,35,IMLS,2013
2374,Total,43,0,0,0,0,0,0,0,0,0,0,0,0,43,IMLS,2014
2375,Total,25,0,0,0,0,0,0,0,0,0,0,0,0,25,IMLS,2015
2376,Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LSC,2008
2378,Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LSC,2009
2380,Total,0,2,1,0,1,0,0,0,0,0,1,0,1,6,LSC,2010
2381,Total,10,3,4,1,1,1,0,1,1,2,6,3,12,45,LSC,2011
2382,OLA,26,1,0,0,0,0,0,0,0,0,0,0,0,27,LSC,2012
2383,OIG,7,1,0,0,0,0,0,0,0,0,0,0,0,8,LSC,2012
2384,Total,33,2,0,0,0,0,0,0,0,0,0,0,0,35,LSC,2012
2385,OLA,21,2,1,0,0,0,0,0,0,0,0,0,0,24,LSC,2013
2386,OIG,13,0,0,0,0,0,0,0,0,0,0,0,0,13,LSC,2013
2387,Total,34,2,1,0,0,0,0,0,0,0,0,0,0,37,LSC,2013
2388,OLA,32,10,0,0,0,0,0,0,0,0,0,0,0,42,LSC,2014
2389,OIG,12,0,0,0,0,0,0,0,0,0,0,0,0,12,LSC,2014
2390,Total,44,10,0,0,0,0,0,0,0,0,0,0,0,54,LSC,2014
2391,OLA,31,4,0,0,0,0,0,0,0,0,0,0,0,35,LSC,2015
2392,OIG,11,0,0,0,0,0,0,0,0,0,0,0,0,11,LSC,2015
2393,Total,42,4,0,0,0,0,0,0,0,0,0,0,0,46,LSC,2015
2394,Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MCC,2008
2396,Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MCC,2009
2398,Total,21,1,0,0,0,0,0,0,0,0,1,0,0,23,MCC,2010
2399,Total,25,1,0,0,0,0,0,0,0,0,0,0,0,26,MCC,2011
2400,Total,28,1,0,0,0,0,0,0,0,0,0,0,0,29,MCC,2012
2401,Total,16,3,2,0,0,0,0,0,0,0,0,0,0,21,MCC,2013
2402,Total,11,2,0,0,0,1,0,0,0,0,0,0,0,14,MCC,2014
2403,Total,17,2,1,2,3,1,1,0,0,10,2,0,0,39,MCC,2015
2404,Total,337,10,4,0,0,0,0,0,0,0,0,0,0,351,MSPB,2008
2405,Total,230,85,10,8,2,0,0,0,0,0,0,0,0,335,MSPB,2009
2406,OCB,310,71,20,0,0,0,0,0,0,0,0,0,0,401,MSPB,2010
2407,Total,310,71,20,0,0,0,0,0,0,0,0,0,0,401,MSPB,2010
2408,Total,97,13,0,0,0,0,0,0,0,0,0,0,0,110,MSPB,2011
2409,Total,222,9,3,0,0,0,0,0,0,0,0,0,0,234,MSPB,2012
2410,Total,112,55,15,1,3,1,0,0,0,0,0,0,2,189,MSPB,2013
2411,Total,152,24,1,0,0,0,0,0,0,0,0,0,0,177,MSPB,2014
2412,Total,61,20,22,6,4,2,1,1,0,0,1,0,0,118,MSPB,2015
2413,Total,11880,513,139,42,16,6,5,5,3,2,10,11,152,12784,NARA,2008
2414,Total,15595,741,321,174,67,41,27,38,11,9,2,8,44,17078,NARA,2009
2415,Total,13560,633,277,118,58,43,28,16,9,6,10,21,203,14982,NARA,2010
2416,Total,15590,543,150,54,29,17,16,13,9,7,17,13,111,16569,NARA,2011
2417,Total,10676,650,235,39,20,15,9,4,6,7,12,10,425,12108,NARA,2012
2418,Total,9480,616,341,197,77,42,31,13,6,9,49,38,277,11176,NARA,2013
2419,Total,16446,903,337,149,78,59,40,17,13,45,79,8,172,18346,NARA,2014
2420,Total,16890,3126,529,485,593,99,29,22,9,13,94,98,257,22244,NARA,2015
2421,ARC,16,2,9,5,12,0,14,5,3,1,4,5,2,78,NASA,2008
2422,DFRC,5,1,2,1,0,0,0,0,0,1,1,0,0,11,NASA,2008
2423,GRC,9,1,1,0,0,0,0,0,0,0,0,0,0,11,NASA,2008
2424,GSFC,17,6,5,0,1,0,0,1,1,0,0,0,0,31,NASA,2008
2425,HQS,50,38,3,6,11,0,10,0,0,0,0,0,0,118,NASA,2008
2426,JPL,17,7,5,1,4,2,0,0,1,0,0,0,0,37,NASA,2008
2427,JSC,69,1,0,0,0,0,0,0,0,0,0,0,0,70,NASA,2008
2428,KSC,71,3,2,3,0,0,0,0,0,0,0,0,0,79,NASA,2008
2429,LaRC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NASA,2008
2430,MSFC,73,26,2,0,0,0,0,0,0,0,0,0,0,101,NASA,2008
2431,NSSC,13,2,0,0,0,0,0,0,0,0,0,0,0,15,NASA,2008
2432,OIG,20,10,3,1,2,2,0,1,2,0,0,0,0,41,NASA,2008
2433,SSC,1,0,0,0,0,0,0,0,0,0,0,0,0,1,NASA,2008
2434,Total,361,97,32,17,30,4,24,7,7,2,5,5,2,593,NASA,2008
2435,ARC,16,2,9,5,12,0,14,5,3,1,4,5,2,78,NASA,2009
2436,DFRC,5,1,2,1,0,0,0,0,0,1,1,0,0,11,NASA,2009
2437,GRC,9,1,1,0,0,0,0,0,0,0,0,0,0,11,NASA,2009
2438,GSFC,17,6,5,0,1,0,0,1,1,0,0,0,0,31,NASA,2009
2439,HQS,50,38,3,6,11,0,10,0,0,0,0,0,0,118,NASA,2009
2440,JPL,17,7,5,1,4,2,0,0,1,0,0,0,0,37,NASA,2009
2441,JSC,69,1,0,0,0,0,0,0,0,0,0,0,0,70,NASA,2009
2442,KSC,71,3,2,3,0,0,0,0,0,0,0,0,0,79,NASA,2009
2443,LaRC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NASA,2009
2444,MSFC,73,26,2,0,0,0,0,0,0,0,0,0,0,101,NASA,2009
2445,NSSC,13,2,0,0,0,0,0,0,0,0,0,0,0,15,NASA,2009
2446,OIG,20,10,3,1,2,2,0,1,2,0,0,0,0,41,NASA,2009
2447,SSC,1,0,0,0,0,0,0,0,0,0,0,0,0,1,NASA,2009
2448,Total,361,97,32,17,30,4,24,7,7,2,5,5,2,593,NASA,2009
2449,ARC,46,23,6,4,2,2,2,0,1,0,3,1,0,90,NASA,2010
2450,DFRC,15,8,3,0,2,0,0,0,1,0,0,0,0,29,NASA,2010
2451,GRC,7,1,1,0,0,0,0,0,0,0,0,0,0,9,NASA,2010
2452,GSFC,10,10,6,1,3,0,4,0,0,3,2,0,0,39,NASA,2010
2453,HQ,17,5,3,1,3,2,1,2,2,2,16,14,14,82,NASA,2010
2454,JPL,47,1,0,0,0,0,0,0,0,0,0,0,0,48,NASA,2010
2455,JSC,74,6,1,1,0,0,0,0,0,0,0,0,0,82,NASA,2010
2456,KSC,21,2,1,0,0,0,0,0,0,0,0,0,0,24,NASA,2010
2457,LaRC,16,1,1,0,0,1,0,0,0,0,0,0,0,19,NASA,2010
2458,MSFC,66,26,3,1,0,0,0,0,0,0,0,0,0,96,NASA,2010
2459,NSSC,17,2,4,0,0,0,0,0,0,0,0,0,0,23,NASA,2010
2460,OGC,1,0,0,0,0,0,0,0,0,0,0,0,0,1,NASA,2010
2461,OIG,11,6,3,1,0,2,0,1,1,0,1,0,0,26,NASA,2010
2462,SSC,16,1,0,0,0,0,0,0,0,0,0,0,0,17,NASA,2010
2463,Total,364,92,32,9,10,7,7,3,5,5,22,15,14,585,NASA,2010
2464,ARC,28,15,8,3,0,0,0,0,0,0,2,0,0,56,NASA,2011
2465,DFRC,18,4,3,0,2,0,0,0,0,0,0,0,0,27,NASA,2011
2466,GRC,6,1,1,0,0,0,0,0,0,0,0,0,0,8,NASA,2011
2467,GSFC,24,3,2,1,1,0,0,0,0,0,0,0,0,31,NASA,2011
2468,HQ,72,6,2,3,8,0,1,1,2,0,3,3,1,102,NASA,2011
2469,JPL,26,3,0,0,0,0,0,0,0,0,0,0,0,29,NASA,2011
2470,JSC,5,1,0,1,0,0,0,0,0,0,0,0,0,7,NASA,2011
2471,KSC,22,3,1,1,0,0,0,0,0,0,0,0,0,27,NASA,2011
2472,LaRC,8,1,0,0,0,0,0,0,0,0,0,0,0,9,NASA,2011
2473,MSFC,67,13,2,0,1,0,0,0,0,0,0,0,0,83,NASA,2011
2474,NSSC,9,3,0,0,1,0,0,0,0,0,0,0,0,13,NASA,2011
2475,OGC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NASA,2011
2476,OIG,22,9,1,0,0,0,0,0,0,0,0,0,0,32,NASA,2011
2477,SSC,12,1,1,0,0,0,0,0,0,0,0,0,0,14,NASA,2011
2478,Total,319,63,21,9,13,0,1,1,2,0,5,3,1,438,NASA,2011
2479,ARC,18,6,1,0,0,0,0,0,0,0,0,0,0,25,NASA,2012
2480,DFRC,7,2,1,1,0,1,0,0,0,0,0,0,0,12,NASA,2012
2481,GRC,7,1,0,0,0,0,0,0,0,0,0,0,0,8,NASA,2012
2482,GSFC,37,10,3,1,0,0,0,0,0,0,0,0,0,51,NASA,2012
2483,HQ,105,3,0,0,0,0,0,1,0,0,0,0,0,109,NASA,2012
2484,JPL,17,0,0,0,0,0,0,0,0,0,0,0,0,17,NASA,2012
2485,JSC,27,2,0,0,0,0,0,0,0,0,0,0,0,29,NASA,2012
2486,KSC,15,1,0,0,0,0,0,0,0,0,0,0,0,16,NASA,2012
2487,LaRC,22,0,0,0,0,0,0,0,0,0,0,0,0,22,NASA,2012
2488,MSFC,73,4,0,0,0,0,0,0,0,0,0,0,0,77,NASA,2012
2489,NSSC,4,0,0,0,0,0,0,0,0,0,0,0,0,4,NASA,2012
2490,OGC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NASA,2012
2491,OIG,25,8,6,3,0,0,0,0,0,0,0,0,0,42,NASA,2012
2492,SSC,6,0,0,0,0,0,0,0,0,0,0,0,0,6,NASA,2012
2493,Total,363,37,11,5,0,1,0,1,0,0,0,0,0,418,NASA,2012
2494,ARC,3,0,0,0,0,0,0,0,0,0,0,0,0,3,NASA,2013
2495,DFRC,4,0,0,0,0,0,0,0,0,0,0,0,0,4,NASA,2013
2496,GRC,5,0,0,0,0,0,0,0,0,0,0,0,0,5,NASA,2013
2497,GSFC,33,2,0,0,0,0,0,0,0,0,0,0,0,35,NASA,2013
2498,HQ,90,0,0,0,0,0,0,0,0,0,0,0,0,90,NASA,2013
2499,JPL,15,0,0,0,0,0,0,0,0,0,0,0,0,15,NASA,2013
2500,JSC,35,0,0,0,0,0,0,0,0,0,0,0,0,35,NASA,2013
2501,KSC,30,0,0,0,0,0,0,0,0,0,0,0,0,30,NASA,2013
2502,LaRC,19,0,0,0,0,0,0,0,0,0,0,0,0,19,NASA,2013
2503,MSFC,59,3,0,0,0,0,0,0,0,0,0,0,0,62,NASA,2013
2504,NSSC,3,0,0,0,0,0,0,0,0,0,0,0,0,3,NASA,2013
2505,OGC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NASA,2013
2506,OIG,18,4,0,0,0,0,0,0,0,0,0,0,0,22,NASA,2013
2507,SSC,7,0,0,0,0,0,0,0,0,0,0,0,0,7,NASA,2013
2508,Total,321,9,0,0,0,0,0,0,0,0,0,0,0,330,NASA,2013
2509,AFRC,11,0,0,0,0,0,0,0,0,0,0,0,0,11,NASA,2014
2510,ARC,8,0,0,0,0,0,0,0,0,0,0,0,0,8,NASA,2014
2511,GRC,7,0,0,0,0,0,0,0,0,0,0,0,0,7,NASA,2014
2512,GSFC,34,2,0,0,0,0,0,0,0,0,0,0,0,36,NASA,2014
2513,HQ,82,2,0,0,0,0,0,0,0,0,0,0,0,84,NASA,2014
2514,JPL,21,0,0,0,0,0,0,0,0,0,0,0,0,21,NASA,2014
2515,JSC,42,2,0,0,0,0,0,0,0,0,0,0,0,44,NASA,2014
2516,KSC,41,0,2,0,0,0,0,0,0,0,0,0,0,43,NASA,2014
2517,LaRC,12,0,0,0,0,0,0,0,0,0,0,0,0,12,NASA,2014
2518,MSFC,57,0,0,0,0,0,0,0,0,0,0,0,0,57,NASA,2014
2519,NSSC,3,2,0,0,0,0,0,0,0,0,0,0,0,5,NASA,2014
2520,OGC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NASA,2014
2521,OIG,16,4,0,0,0,0,0,0,0,0,0,0,0,20,NASA,2014
2522,SSC,12,1,0,0,0,0,0,0,0,0,0,0,0,13,NASA,2014
2523,Total,346,13,2,0,0,0,0,0,0,0,0,0,0,361,NASA,2014
2524,AFRC,15,0,0,0,0,0,0,0,0,0,0,0,0,15,NASA,2015
2525,ARC,11,0,0,0,0,0,0,0,0,0,0,0,0,11,NASA,2015
2526,GRC,8,0,0,0,0,0,0,0,0,0,0,0,0,8,NASA,2015
2527,GSFC,42,2,0,0,0,0,0,0,0,0,0,0,0,44,NASA,2015
2528,HQ,185,1,0,0,0,0,0,0,0,0,0,0,0,186,NASA,2015
2529,JPL,37,0,0,0,0,0,0,0,0,0,0,0,0,37,NASA,2015
2530,JSC,50,2,0,0,0,0,0,0,0,0,0,0,0,52,NASA,2015
2531,KSC,54,0,0,0,0,0,0,0,0,0,0,0,0,54,NASA,2015
2532,LaRC,31,0,0,0,0,0,0,0,0,0,0,0,0,31,NASA,2015
2533,MSFC,45,1,0,0,0,0,0,0,0,0,0,0,0,46,NASA,2015
2534,NSSC,19,0,0,0,0,0,0,0,0,0,0,0,0,19,NASA,2015
2535,OGC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NASA,2015
2536,OIG,47,6,0,0,0,0,0,0,0,0,0,0,0,53,NASA,2015
2537,SSC,13,0,0,0,0,0,0,0,0,0,0,0,0,13,NASA,2015
2538,Total,557,12,0,0,0,0,0,0,0,0,0,0,0,569,NASA,2015
2539,Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NCPC,2008
2541,Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NCPC,2009
2543,Total,19,0,0,0,0,0,0,0,0,0,0,0,0,19,NCPC,2010
2544,Total,17,0,0,0,0,0,0,0,0,0,0,0,0,17,NCPC,2011
2545,Total,13,0,0,0,0,0,0,0,0,0,0,0,0,13,NCPC,2012
2546,Total,9,0,0,0,0,0,0,0,0,0,0,0,0,9,NCPC,2013
2547,Total,13,0,0,0,0,0,0,0,0,0,0,0,0,13,NCPC,2014
2548,Total,3,0,0,0,0,0,0,0,0,0,0,0,0,3,NCPC,2015
2549,Total,108,10,4,0,0,0,0,0,0,0,0,0,0,122,NCUA,2008
2550,Total,102,10,2,0,0,0,0,0,0,0,0,0,0,114,NCUA,2009
2551,Total,115,22,6,0,1,0,1,0,0,0,0,0,0,145,NCUA,2010
2552,Total,102,17,6,0,1,0,0,0,0,0,0,0,0,126,NCUA,2011
2553,Total,78,18,8,2,1,0,2,0,0,0,0,0,0,109,NCUA,2012
2554,Total,85,7,2,1,0,0,0,0,0,0,0,0,0,95,NCUA,2013
2555,Total,52,5,0,0,0,0,0,0,0,0,0,0,0,57,NCUA,2014
2556,Total,45,2,0,0,0,0,0,0,0,0,0,0,0,47,NCUA,2015
2557,Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NEA,2008
2559,Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NEA,2009
2561,Total,127,8,2,1,1,0,0,0,0,0,0,1,2,142,NEA,2010
2562,Total,100,9,4,1,0,0,0,0,0,0,0,0,4,118,NEA,2011
2563,Total,83,25,2,0,0,0,0,0,0,0,0,0,0,110,NEA,2012
2564,Total,48,10,2,4,4,3,0,0,0,0,1,1,0,73,NEA,2013
2565,Total,50,11,1,0,0,0,0,0,0,0,0,0,0,62,NEA,2014
2566,Total,49,3,0,0,0,0,0,0,0,0,0,0,0,52,NEA,2015
2567,Total,9,6,1,0,0,0,0,0,0,0,0,0,0,16,NEH,2008
2568,Total,20,7,0,0,0,0,0,0,0,0,0,0,0,27,NEH,2009
2569,Total,28,11,0,0,0,0,0,0,0,0,0,0,0,39,NEH,2010
2570,Total,24,8,0,0,0,0,0,0,0,0,0,0,0,32,NEH,2011
2571,Total,21,1,0,0,0,0,0,0,0,0,0,0,0,22,NEH,2012
2572,Total,30,0,0,0,0,0,0,0,0,0,0,0,0,30,NEH,2013
2573,Total,35,5,0,0,0,0,0,0,0,0,0,0,0,40,NEH,2014
2574,Total,51,0,0,0,0,0,0,0,0,0,0,0,0,51,NEH,2015
2575,Total,55,11,8,2,0,0,0,0,0,0,0,0,0,76,NIGC,2008
2576,Total,35,8,4,0,0,0,0,0,0,0,0,0,0,47,NIGC,2009
2577,Total,35,11,4,1,1,2,1,0,0,1,0,0,0,56,NIGC,2010
2578,Total,35,12,5,7,1,1,0,0,0,0,1,0,0,62,NIGC,2011
2579,Total,16,6,4,1,4,2,4,1,0,0,1,0,0,39,NIGC,2012
2580,Total,11,2,6,5,1,2,0,5,3,0,3,2,2,42,NIGC,2013
2581,Total,22,7,8,4,3,3,1,0,1,0,4,5,5,63,NIGC,2014
2582,Total,16,8,0,1,0,0,1,0,0,1,1,0,1,29,NIGC,2015
2583,Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NLRB,2008
2585,Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NLRB,2009
2587,Total,5717,169,7,4,1,1,0,0,0,0,0,0,0,5899,NLRB,2010
2588,Total,5620,217,18,2,2,0,0,1,0,0,0,0,0,5860,NLRB,2011
2589,Total,5876,368,22,7,1,0,1,1,0,0,0,0,0,6276,NLRB,2012
2590,Total,5254,260,19,4,3,1,1,2,0,1,2,3,0,5550,NLRB,2013
2591,Total,4111,266,22,14,3,3,4,1,0,0,0,0,0,4424,NLRB,2014
2592,Total,3087,442,87,38,14,0,1,1,2,1,0,1,0,3674,NLRB,2015
2593,Total,16,0,0,0,0,0,0,0,0,0,0,0,0,16,NMB,2008
2594,Total,16,3,0,0,0,0,0,0,0,0,0,0,0,19,NMB,2009
2595,Total,18,5,0,0,1,0,0,0,0,0,0,0,0,24,NMB,2010
2596,Total,5,7,6,3,0,0,0,1,0,0,0,0,0,22,NMB,2011
2597,Total,15,4,0,3,0,1,1,0,0,0,0,0,0,24,NMB,2012
2598,Total,32,0,0,0,0,0,0,0,0,0,0,0,0,32,NMB,2013
2599,Total,35,3,0,0,0,0,0,0,0,0,0,0,0,38,NMB,2014
2600,Total,34,1,0,0,0,0,0,0,0,0,0,0,0,35,NMB,2015
2601,Total,6,2,0,0,0,0,0,0,0,0,0,0,0,8,NRPC,2008
2602,Total,32,12,4,0,0,0,0,0,0,0,0,0,0,48,NRPC,2009
2603,Total,31,43,5,6,0,0,0,0,0,0,0,0,0,85,NRPC,2010
2604,Total,34,3,2,1,0,0,1,0,0,0,3,0,0,44,NRPC,2011
2605,Total,49,1,2,0,0,0,0,0,0,0,0,0,0,52,NRPC,2012
2606,Total,22,0,0,0,0,0,0,0,0,0,0,0,0,22,NRPC,2013
2607,Total,31,4,0,1,0,0,0,0,0,0,0,0,0,36,NRPC,2014
2608,Total,40,6,4,1,1,2,3,0,0,0,0,0,0,57,NRPC,2015
2609,Foundation,202,81,22,5,1,1,1,0,0,0,1,0,0,314,NSF,2008
2610,OIG,32,2,0,0,0,0,0,0,0,0,0,0,0,34,NSF,2008
2611,Total,234,83,22,5,1,1,1,0,0,0,1,0,0,348,NSF,2008
2612,Foundation,234,60,5,1,1,0,0,0,0,0,1,0,1,303,NSF,2009
2613,OIG,79,0,0,0,0,0,0,0,0,0,0,0,0,79,NSF,2009
2614,Total,313,60,5,1,1,0,0,0,0,0,1,0,1,382,NSF,2009
2615,OGC,235,118,14,6,3,0,1,0,0,0,0,0,0,377,NSF,2010
2616,OIG,87,1,0,0,0,0,0,0,0,0,0,0,0,88,NSF,2010
2617,Total,322,119,14,6,3,0,1,0,0,0,0,0,0,465,NSF,2010
2618,OGC,231,125,18,7,4,3,7,0,2,1,3,0,0,401,NSF,2011
2619,OIG,112,6,0,0,0,0,0,0,0,0,0,0,0,118,NSF,2011
2620,Total,343,131,18,7,4,3,7,0,2,1,3,0,0,519,NSF,2011
2621,OGC,136,122,78,9,6,1,0,0,0,0,2,0,1,355,NSF,2012
2622,OIG,58,0,1,0,1,0,0,0,0,0,0,0,0,60,NSF,2012
2623,Total,194,122,79,9,7,1,0,0,0,0,2,0,1,415,NSF,2012
2624,OGC,123,66,40,23,12,3,2,0,0,1,2,0,0,272,NSF,2013
2625,OIG,26,4,2,0,0,1,0,0,0,0,0,0,0,33,NSF,2013
2626,Total,149,70,42,23,12,4,2,0,0,1,2,0,0,305,NSF,2013
2627,OGC,85,19,11,10,4,2,3,1,1,1,0,0,0,137,NSF,2014
2628,OIG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NSF,2014
2629,Total,85,19,11,10,4,2,3,1,1,1,0,0,0,137,NSF,2014
2630,OGC,2,1,0,0,0,0,0,0,0,0,0,0,0,3,NSF,2015
2631,OIG,12,3,0,0,0,0,0,0,0,0,0,0,0,15,NSF,2015
2632,Total,14,4,0,0,0,0,0,0,0,0,0,0,0,18,NSF,2015
2633,Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NTSB,2008
2635,Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NTSB,2009
2637,HQ,17,3,1,0,0,0,0,0,0,0,0,0,0,21,NTSB,2010
2638,Total,17,3,1,0,0,0,0,0,0,0,0,0,0,21,NTSB,2010
2639,Total,10,9,1,1,0,0,0,0,0,0,0,0,0,21,NTSB,2011
2640,Total,17,11,2,0,0,0,0,0,0,0,0,0,0,30,NTSB,2012
2641,Total,64,41,9,5,3,0,0,0,0,0,1,0,1,124,NTSB,2013
2642,Total,107,6,4,1,3,0,0,0,0,0,0,1,0,122,NTSB,2014
2643,Total,14,3,2,1,0,1,0,0,0,0,2,2,2,27,NTSB,2015
2644,Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ODNI,2008
2646,Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ODNI,2009
2648,Total,60,7,4,6,8,4,7,2,7,4,7,3,18,137,ODNI,2010
2649,Total,261,7,6,1,2,2,2,6,3,4,3,24,14,335,ODNI,2011
2650,Total,214,7,4,2,4,0,0,0,0,0,2,2,1,236,ODNI,2012
2651,Total,166,47,17,4,12,1,3,4,1,3,5,0,21,284,ODNI,2013
2652,Total,194,37,14,8,2,1,2,6,2,0,1,0,0,267,ODNI,2014
2653,Total,122,7,7,2,4,1,2,2,2,0,4,2,5,160,ODNI,2015
2654,Total,41,1,0,0,0,0,0,0,0,0,0,0,0,42,OGE,2008
2655,Total,66,6,0,0,0,0,0,0,0,0,0,0,0,72,OGE,2009
2656,Total,78,8,0,0,0,0,0,0,1,0,0,0,0,87,OGE,2010
2657,Total,60,11,1,0,0,0,0,0,0,0,0,0,0,72,OGE,2011
2658,Total,43,5,1,0,0,0,0,0,0,0,0,0,0,49,OGE,2012
2659,Total,40,2,0,0,0,0,0,0,0,0,0,0,0,42,OGE,2013
2660,Total,26,2,1,0,0,0,0,0,0,0,0,0,0,29,OGE,2014
2661,Total,54,12,0,0,1,0,0,0,1,0,0,0,1,69,OGE,2015
2662,Total,71,51,11,4,1,4,0,0,0,0,0,0,0,142,OMB,2008
2663,Total,62,47,11,4,2,0,0,0,0,0,0,0,0,126,OMB,2009
2664,Total,40,40,19,17,3,6,8,3,0,2,3,0,0,141,OMB,2010
